gene,CNV
NEB,LOH
CACNB4,LOH
STAM2,LOH
FMNL2,LOH
PRPF40A,LOH
ARL6IP6,LOH
RPRM,LOH
GALNT13,LOH
GPD2,LOH
ERMN,LOH
CYTIP,LOH
ACVR1C,LOH
ACVR1,LOH
TANC1,LOH
WDSUB1,LOH
BAZ2B,LOH
LY75-CD302,LOH
ITGB6,GAIN
RBMS1,GAIN
RBMS1,LOH
SLC4A10,LOH
DPP4,LOH
FAP,LOH
IFIH1,LOH
KCNH7,LOH
KCNH7,GAIN
TMEFF2,LOH
SLC39A10,LOH
DNAH7,LOH
STK17B,LOH
HECW2,LOH
CCDC150,LOH
GTF3C3,LOH
C2orf66,LOH
PGAP1,LOH
PGAP1,LOH
HDAC4,GAIN
NDUFA10,GAIN
OR6B2,GAIN
OR6B3,GAIN
GPC1,GAIN
ANKMY1,GAIN
GPR35,GAIN
AQP12B,GAIN
AQP12A,GAIN
KIF1A,GAIN
AGXT,GAIN
C2orf54,GAIN
LOC200772,GAIN
SNED1,GAIN
MTERF4,GAIN
PASK,GAIN
PPP1R7,GAIN
ANO7,GAIN
HDLBP,GAIN
FARP2,GAIN
STK25,GAIN
BOK-AS1,GAIN
BOK,GAIN
THAP4,GAIN
ATG4B,GAIN
DTYMK,GAIN
ING5,GAIN
D2HGDH,GAIN
GAL3ST2,GAIN
NEU4,GAIN
PDCD1,GAIN
LINC01237,GAIN
CHL1,GAIN
CNTN4,GAIN
CNTN4-AS1,GAIN
IL5RA,GAIN
CRBN,GAIN
ITPR1,GAIN
ARL8B,GAIN
EDEM1,GAIN
GRM7,GAIN
LMCD1-AS1,GAIN
RAD18,GAIN
SRGAP3,GAIN
SETD5,GAIN
LHFPL4,GAIN
MTMR14,GAIN
CPNE9,GAIN
BRPF1,GAIN
OGG1,GAIN
TADA3,GAIN
ARPC4-TTLL3,GAIN
CIDEC,GAIN
JAGN1,GAIN
IL17RE,GAIN
IL17RC,GAIN
CRELD1,GAIN
PRRT3,GAIN
FANCD2,GAIN
FANCD2OS,GAIN
IRAK2,GAIN
TATDN2,GAIN
GHRLOS,GAIN
SEC13,GAIN
SLC6A1,GAIN
HRH1,GAIN
ATG7,GAIN
VGLL4,GAIN
TAMM41,GAIN
SYN2,GAIN
MKRN2,GAIN
RAF1,GAIN
TMEM40,GAIN
IQSEC1,GAIN
NUP210,GAIN
HDAC11,GAIN
FBLN2,GAIN
CHCHD4,GAIN
TMEM43,GAIN
XPC,GAIN
SLC6A6,GAIN
GRIP2,GAIN
CCDC174,GAIN
C3orf20,GAIN
FGD5,GAIN
NR2C2,GAIN
MRPS25,GAIN
RBSN,GAIN
COL6A4P1,GAIN
CAPN7,GAIN
SH3BP5,GAIN
EAF1,GAIN
COLQ,GAIN
HACL1,GAIN
BTD,GAIN
DPH3,GAIN
RFTN1,GAIN
DAZL,GAIN
PLCL2,GAIN
TBC1D5,GAIN
KCNH8,GAIN
RAB5A,GAIN
PP2D1,GAIN
KAT2B,GAIN
VENTXP7,GAIN
UBE2E2,GAIN
UBE2E1,GAIN
NR1D2,GAIN
THRB,GAIN
RARB,GAIN
TOP2B,GAIN
NGLY1,GAIN
OXSM,GAIN
LRRC3B,GAIN
NEK10,GAIN
SLC4A7,GAIN
EOMES,GAIN
AZI2,GAIN
ZCWPW2,GAIN
TGFBR2,GAIN
